Mar. 10, 2019   12:09:40
Cyclic Voltammetry
File: 
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.6
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 20.0

Segment 1:
Ep = -0.141V
ip = -1.036e-3A
Ah = -6.457e-3C

Segment 2:

Segment 3:
Ep = -0.134V
ip = -1.014e-3A
Ah = -5.793e-3C

Segment 4:

Segment 5:
Ep = -0.145V
ip = -1.007e-3A
Ah = -6.891e-3C

Ep = -0.665V
ip = -2.306e-5A
Ah = -1.842e-5C

Segment 6:

Segment 7:
Ep = -0.140V
ip = -1.012e-3A
Ah = -6.416e-3C

Ep = -0.380V
ip = -1.708e-5A
Ah = -1.052e-5C

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Potential/V, i1/A, i2/A
0.035, -1.228e-4, 1.207e-5
0.034, -1.206e-4, 1.206e-5
0.033, -1.240e-4, 1.208e-5
0.032, -1.219e-4, 1.206e-5
0.031, -1.250e-4, 1.209e-5
0.030, -1.227e-4, 1.207e-5
0.029, -1.256e-4, 1.209e-5
0.028, -1.238e-4, 1.208e-5
0.027, -1.260e-4, 1.210e-5
0.026, -1.239e-4, 1.209e-5
0.025, -1.267e-4, 1.212e-5
0.024, -1.250e-4, 1.210e-5
0.023, -1.283e-4, 1.212e-5
0.022, -1.268e-4, 1.211e-5
0.021, -1.295e-4, 1.213e-5
0.020, -1.283e-4, 1.211e-5
0.019, -1.306e-4, 1.212e-5
0.018, -1.290e-4, 1.210e-5
0.017, -1.314e-4, 1.214e-5
0.016, -1.297e-4, 1.213e-5
0.015, -1.317e-4, 1.215e-5
0.014, -1.299e-4, 1.214e-5
0.013, -1.325e-4, 1.217e-5
0.012, -1.321e-4, 1.216e-5
0.011, -1.338e-4, 1.218e-5
0.010, -1.322e-4, 1.217e-5
0.009, -1.343e-4, 1.220e-5
0.008, -1.339e-4, 1.220e-5
0.007, -1.364e-4, 1.222e-5
0.006, -1.361e-4, 1.222e-5
0.005, -1.382e-4, 1.223e-5
0.004, -1.381e-4, 1.223e-5
0.003, -1.396e-4, 1.224e-5
0.002, -1.394e-4, 1.224e-5
0.001, -1.415e-4, 1.226e-5
-0.000, -1.431e-4, 1.226e-5
-0.001, -1.445e-4, 1.227e-5
-0.002, -1.443e-4, 1.226e-5
-0.003, -1.459e-4, 1.228e-5
-0.004, -1.469e-4, 1.228e-5
-0.005, -1.483e-4, 1.229e-5
-0.006, -1.496e-4, 1.227e-5
-0.007, -1.516e-4, 1.229e-5
-0.008, -1.528e-4, 1.228e-5
-0.009, -1.549e-4, 1.228e-5
-0.010, -1.561e-4, 1.227e-5
-0.011, -1.577e-4, 1.227e-5
-0.012, -1.596e-4, 1.227e-5
-0.013, -1.609e-4, 1.227e-5
-0.014, -1.628e-4, 1.226e-5
-0.015, -1.642e-4, 1.227e-5
-0.016, -1.660e-4, 1.227e-5
-0.017, -1.679e-4, 1.227e-5
-0.018, -1.694e-4, 1.227e-5
-0.019, -1.701e-4, 1.229e-5
-0.020, -1.723e-4, 1.231e-5
-0.021, -1.736e-4, 1.233e-5
-0.022, -1.768e-4, 1.234e-5
-0.023, -1.785e-4, 1.236e-5
-0.024, -1.816e-4, 1.238e-5
-0.025, -1.836e-4, 1.241e-5
-0.026, -1.873e-4, 1.242e-5
-0.027, -1.891e-4, 1.244e-5
-0.028, -1.939e-4, 1.247e-5
-0.029, -1.964e-4, 1.249e-5
-0.030, -2.011e-4, 1.250e-5
-0.031, -2.036e-4, 1.252e-5
-0.032, -2.092e-4, 1.254e-5
-0.033, -2.117e-4, 1.255e-5
-0.034, -2.176e-4, 1.257e-5
-0.035, -2.202e-4, 1.259e-5
-0.036, -2.267e-4, 1.261e-5
-0.037, -2.291e-4, 1.262e-5
-0.038, -2.362e-4, 1.265e-5
-0.039, -2.396e-4, 1.266e-5
-0.040, -2.469e-4, 1.269e-5
-0.041, -2.505e-4, 1.270e-5
-0.042, -2.581e-4, 1.273e-5
-0.043, -2.610e-4, 1.275e-5
